Comentário;Sentimento
Peço que da próxima vez possam resolver a situação mais rápido pois estou desde quinta feira a pedir para ser resolver;Negativo
Excelente suporte, só fiquei chateado pq acabei perdendo alguns dias de leads !;Positivo
Não recebi o boleto bancário com vencimento em 14/04/2023 para pagamento, estou aguardando;Negativo
O atendimento foi ok.;Neutro
"Que o time tivesse mas agilidade em descobrir o que acontece com esses errros graves que vem acontecendo . 
Prejuizos grandes que toda empresa tem";Negativo
"Muito bom o atendimento.
O problema foi solucionado bem rápido.";Positivo
Vcs precisam de mais rapidez no retorno;Negativo
Atendimento excelente pelo whats App;Positivo
Foi ótimo;Positivo
Tudo ok;Neutro
Tudo certo;Positivo
Instabilidade no sistema;Negativo
Resolvam os problemas dos seus clientes!!!. basta isto!!!;Negativo
Quando fiz a conta solicitei a data de vencimento para dia 25, agora fiquei sabendo que a data de vencimento é a data de assinatura do contrato, agora não posso alterar para o dia que solicitei. Outro detalhe é sobre dar um feedback aos clientes por todos os canais que vocês utilizam para cobrança, sempre que houver alguma instabilidade no sistema.;Negativo
"Precisam facilitar o trânsito entre os aplicativos 
Linguagem mais fácil de entender";Negativo
Melhorar o tempo de resposta;Negativo
nada para comentar;Neutro
É horrível o zap ao todo, aguardar qse o dia todo as vezes para conseguir falar com um atendente. O sistema em geral tá uma porcaria e a culpa não é do atendente, mais sim os responsáveis pelo errosr, deixando eles a frente para resolver um problema que está qse um mês para resolverem e nada. Não irei dar nota baixa para a atendente que está fazendo o seu trabalho.;Negativo
"Foi resolvido parcialmente 
Vocês precisam facilitar o acesso descomplicando o atendimento a cliente";Negativo
PRECISO CANCELAR;Negativo
Não permitir anúncio por vc acham que não valem o valor é absurdo e mesmo porque mandei prints com anúncios na região com mesmo valor inclusive no olx, vc ditarem onpreco que um imóvel deve ser vendido he absurdo. Devem lembrar que estamos em Aracaju e não em São Paulo, nem mesmo encontrei o índice de Aracaju no fip zap, e vc acharam impreco por tentativa péssimo gestão vcs tem.;Negativo
Neste momento, diferentemente de outra ocasião no passado. Conseguimos ser atendido. Agradecemos.;Positivo
Atendimento sempre rápido, excelente!;Positivo
E preciso fazer algo para melhorar as visualizações dos anúncios. Ou melhor ter mais visualização;Neutro
os atendimentos demoram muito, péssimo suporte, antes tinhamos um consultor que prontamente me atendia, agora esta uma bagunça, uma demora só, mando mensagem de manhã e as vezes so me respondem a tarde;Negativo
Essas instabilidades são meio chata e causa prejuízos, pois ficamos vários dias sem conseguir anunciar de uma forma plena. Anuncios sem fotos, por exemplo, ou com fotos de capa trocadas. São alguns dos inconvenientes. Espero que vcs trabalhem para evitar novas instabilidades no site.;Negativo
Estava vendo a plataforma, fiquei um pouco assustado com as imagens divulgadas ,mas o Luís que cuida da nossa conta disse que o sistema estava com problemas...agora olhando está tudo certo....só a pena que não consigo fazer alteração junto ao canal pro dia anúncios que venha da integração! seria bom;Positivo
Sem o que falar no momento.;Neutro
Tirando a demora para responder. Está tudo certo.;Negativo
Sistema com instabilidade por mais de 7 dias, desordenou todas as fotos dos meus anúncios, fui informado d q fariam alguma bonificação para reparar o prejuízo pelos dias de instabilidade e pelo trabalho de ter q ordenar todas as fotos novamente, e não recebi nada, nenhuma informação sobre isso;Negativo
ninguém me responde no atendimento, complicado;Negativo
De momento sim, mas precisamos aguardar por mais tempo para ter certeza que foi corrigido,;Neutro
Estou sendo prejudicado com a instabilidade no sistema de vcs e com isso, eu quero desconto no meu pagamento. Quanto ao atendimento é sempre a mesma desculpa e a demora é bem acima do tolerável.;Negativo
Os anúncios poderiam sair em pelos menos 4 horas, apos ser destivado no sistema;Neutro
Muito difícil acesso;Negativo
Atendimento solucionou a dúvida, porém muita demora pra ser atendido.;Negativo
Ainda testando;Neutro
Cansada do péssimo atendimento;Negativo
"Endreco de minha casa e errado!!

ZAP escreve isso endreco errado!!!";Negativo
Muito bom o atendimento , resolveu rápido abs;Positivo
O que eu precisava o sistema Pro não resolve então ficou bem entendido;Neutro
Não dá assistência ao cliente;Negativo
Atendente muito eficaz;Positivo
O atendimento está demorado. Mas tudo ok devido aos problemas de bugs da plataforma devido as novas atualizações;Neutro
Obrigado;Neutro
Atendentes super atenciosos;Positivo
E, Necessário fazer algumas ações para melhorar as visualizações dos nossos anúncios;Neutro
Péssimo, demorado, e ninguém resolve;Negativo
Infelizmente a olx nao rem alguel com diárias, então gerou um transtorno e tive que turar os anúncios. E isso me complicou com minha cliente que confiou seus imóveis pra eu trabalhar, ontem foi um estresse, e vcs não resolveram.;Negativo
Eu, gostaria que tivesse, menos respostas prontas...;Positivo
Excelente experiência;Positivo
Ótimo site e atendimento.;Positivo
Demorou um pouco, mas da pra entender, serviço excelente, estou satisfeita;Positivo
O próprio sistema GrupoZap poderia deixar separar os imóveis em duplicidade e ativar só um anúncio;Neutro
Não desejo comentar.;Neutro
Os planos estão muito caros;Negativo
precisaria ser mais agil o atendimento....o meu assunto foi resolvido...porem se não tivesse...estaria a manhã toda sem ação de vendas;Negativo
Aguardando encaminhamentos;Neutro
Atendimento ágil;Positivo
ola;Neutro
Muito bom;Positivo
Não foi resolvido pois não consigo resgatar meus pontos no club zap+;Negativo
"Foram bem rápido no atendimento e me informaram muito bem ! 
Muito obrigada!";Positivo
Gostaria de saber quem é o gerente da minha conta?;Neutro
E aí portal Zap, PÉSSIMO ATENDIMENTO!!!! VOU ESPERAR ATÉ QUANDO????;Negativo
Atendimento de vcs já foi melhor,;Positivo
Aguardando contato da Área Comercial;Neutro
Aqui tá tri rápido gostaria que a pessoa que foi designada a me atender no Whatsapp Beatriz me retornasse as mensagens obrigado.;Negativo
O atendimento só precisar ser mais rápido , demoram demais pra começar o atendimento.;Negativo
Ótimo atendimento, mas poderiam ter por telefone para ser mais humanizado;Positivo
Muita demora em responder, não tem uma pronta entrega em resolver a questão para melhorar os serviços.;Neutro
"Ainda não foi resolvido. O atendimento é lento, ficamos esperando sem respostas, há muito para melhorar. Não consigo renovar o anúncio desde sábado, hoje é quarta-feira, o prejuízo também é de vocês. Há um problema no site, o cartão crédito não passa, acusa uma mensagem ""ALGO INESPERADO ACONTECEU"", completamente genérica, que não diz nada. Deveria ser uma informação mais objetiva.";Negativo
Estou desde o dia 05/04 tentando aumentar meu pacote de anúncios porque meu plano está estourando e tem anúncios meus saindo do ar. O meu caso já está em prioridade e mesmo assim ninguem entra em contato comigo para alterar. Sexta-feira é feriado e ainda temos um final de semana e eu não posso ficar esse tempo todo esperando a boa vontade de alguém entrar em contato comigo.;Negativo
Atendimento no chat, precisa melhorar, do consegui o contato pelo whatsapp;Negativo
Mais rapidez no atendimento!;Positivo
Ótimo atendimento.;Positivo
meu problema foi resolvido com sucesso, so estao demorando muito para atender.;Positivo
Tenho a impressão que os atendentes não ficam focados no atendimento. Uma resposta demora muito para serem respondidas.;Negativo
Eu envio mensagem e só horas depois respondem com uma ação que eu já fiz e não resolveu. E continuo com problema.;Negativo
Fui muito bem atendido e orientado pelo Pedro.;Positivo
"Pedi para falar por telefone.
Nao fui atendido.
Ao final a atendente informou que o problema foi resolvido, mas só conseguirei confirmar apos 24hs.
Saio frustrado e inseguro se o problema do anuncio sera ou nao resolvido.";Negativo
Obrigado;Neutro
aumentar o numero de atendentes para nao ter tanta demora na resposta;Neutro
Ótimo atendimento, paciente e prestativo;Positivo
Davi tirou minhas dúvidas. Bom atendimento.;Positivo
Fui super bem atendido, todas as minhas dúvidas e questionamentos respondidos, não tenho nada acrescentar, só agradecer o bom atendimento da Sta Taisa.;Positivo
